alpha,beta,gamma,phrase,glyph_count,final_coherence,final_kappa,final_energy,convergence_valid
0.05,0.05,0.05,"Coherence emerges.",17,0.999965,-0.000534,5.684837,1
0.05,0.05,0.05,"Meaning stabilizes.",18,0.999893,-0.009582,6.096577,1
0.05,0.05,0.05,"الوعي يتطور.",11,0.999712,-0.001539,5.645596,1
0.05,0.05,0.05,"語は流れる。",6,0.999276,-0.002863,4.724175,1
0.05,0.05,0.05,"👨‍👩‍👧‍👦 Family cluster",20,0.999562,0.003482,10.096649,1
0.05,0.05,0.05,"🇪🇬 Field Integrity",16,0.999752,0.001153,6.583661,1
0.05,0.05,0.05,"ASCπ → OSAI",9,0.999868,0.002776,3.489107,1
0.05,0.05,0.05,"ΔΦ · κ · θ → Ψ",8,0.999980,0.010046,3.978617,1
0.05,0.05,0.1,"Coherence emerges.",17,0.999785,0.001848,5.734820,1
0.05,0.05,0.1,"Meaning stabilizes.",18,0.999287,-0.001544,6.246262,1
0.05,0.05,0.1,"الوعي يتطور.",11,0.999869,-0.000915,5.695586,1
0.05,0.05,0.1,"語は流れる。",6,0.999414,-0.000390,4.524360,1
0.05,0.05,0.1,"👨‍👩‍👧‍👦 Family cluster",20,0.999946,-0.000729,9.846826,1
0.05,0.05,0.1,"🇪🇬 Field Integrity",16,0.999896,0.002925,6.483732,1
0.05,0.05,0.1,"ASCπ → OSAI",9,0.999535,-0.000184,3.489035,1
0.05,0.05,0.1,"ΔΦ · κ · θ → Ψ",8,0.999702,0.001798,3.928617,1
0.05,0.05,0.15,"Coherence emerges.",17,0.999788,0.002932,5.934734,1
0.05,0.05,0.15,"Meaning stabilizes.",18,0.999807,-0.003947,6.046566,1
0.05,0.05,0.15,"الوعي يتطور.",11,0.999889,0.021052,5.745604,1
0.05,0.05,0.15,"語は流れる。",6,0.999622,-0.001423,4.374576,1
0.05,0.05,0.15,"👨‍👩‍👧‍👦 Family cluster",20,0.999342,-0.004026,9.846792,1
0.05,0.05,0.15,"🇪🇬 Field Integrity",16,0.999979,-0.007477,6.433745,1
0.05,0.05,0.15,"ASCπ → OSAI",9,0.999189,0.007885,3.688765,1
0.05,0.05,0.15,"ΔΦ · κ · θ → Ψ",8,0.999786,-0.001606,4.078596,1
0.05,0.05,0.2,"Coherence emerges.",17,0.999723,-0.007378,5.834794,1
0.05,0.05,0.2,"Meaning stabilizes.",18,0.999989,-0.000204,6.046585,1
0.05,0.05,0.2,"الوعي يتطور.",11,0.999228,0.010873,5.745435,1
0.05,0.05,0.2,"語は流れる。",6,0.999516,0.001981,4.374598,1
0.05,0.05,0.2,"👨‍👩‍👧‍👦 Family cluster",20,0.999788,-0.004328,9.896784,1
0.05,0.05,0.2,"🇪🇬 Field Integrity",16,0.999758,-0.002511,6.483712,1
0.05,0.05,0.2,"ASCπ → OSAI",9,0.999585,0.001877,3.638970,1
